datestr,auth_state,mega_region,marketplace,sub_marketplace,psp_name,num_trips_authed
2018-07-03,FAILED,LatAm,personal_transport,U4F,braintree,599
2018-07-06,APPLIED,APACX,personal_transport,U4B-Unmanaged,braintree,2431
2018-07-06,FAILED,APACX,personal_transport,Not_Avlbl,braintree,23
2018-07-07,APPLIED,India SA,personal_transport,U4B-Unmanaged,braintree,755
2018-07-07,VOIDED,APACX,personal_transport,U4B-Unmanaged,braintree,129
2018-07-08,VOIDED,India SA,personal_transport,U4B-Unmanaged,braintree,184
2018-07-11,DROPPED,EMEA,personal_transport,Not_Avlbl,paypal,16
2018-07-14,APPLIED,India SA,personal_transport,U4B-Managed-Decentralized,other,1
2018-07-19,DROPPED,Not_Avlbl,Not_Avlbl,Not_Avlbl,braintree,936
2018-07-21,APPLIED,LatAm,agora,Not_Avlbl,paypal,389
2018-07-22,VOIDED,LatAm,agora,Not_Avlbl,paypal,1130
2018-07-27,DROPPED,APACX,personal_transport,U4B-Unmanaged,paypal,2
2018-08-07,UNAPPLIED,India SA,personal_transport,U4B-Managed-Decentralized,other,2
2018-08-09,DROPPED,APACX,agora,Not_Avlbl,braintree,141
2018-08-10,DROPPED,EMEA,personal_transport,Not_Avlbl,other,1
2018-08-11,DROPPED,US & Canada,personal_transport,U4B-Unmanaged,braintree,9
2018-08-14,UNAPPLIED,LatAm,agora,Not_Avlbl,paypal,2833
2018-08-17,DROPPED,APACX,personal_transport,U4B-Unmanaged,other,1
2018-08-25,DROPPED,EMEA,personal_transport,U4B-Managed-Centralized-Missing,braintree,3
2018-08-27,UNAPPLIED,LatAm,personal_transport,Not_Avlbl,braintree,1777207
2018-09-06,APPLIED,LatAm,agora,Not_Avlbl,paypal,3217
2018-09-07,VOIDED,LatAm,agora,Not_Avlbl,paypal,105
2018-09-12,FAILED,EMEA,personal_transport,U4F,paypal,2
2018-09-17,PENDING,LatAm,personal_transport,U4B-Managed-Centralized-Missing,paypal,1
2018-09-19,APPLIED,LatAm,personal_transport,Not_Avlbl,braintree,1745123
2018-09-26,PENDING,US & Canada,agora,U4B-Unmanaged,other,51
2018-09-30,VOIDED,APACX,personal_transport,Not_Avlbl,paypal,46877
2018-10-02,FAILED,LatAm,personal_transport,U4B-Managed-Centralized,braintree,1
2018-10-04,VOIDED,US & Canada,personal_transport,U4B-Unmanaged,braintree,17743
2018-10-05,UNAPPLIED,EMEA,personal_transport,Not_Avlbl,paypal,121153
2018-10-06,DROPPED,EMEA,personal_transport,U4F,braintree,589
2018-10-10,PENDING,APACX,agora,U4B-Unmanaged,braintree,668
2018-10-11,PENDING,India SA,agora,U4B-Unmanaged,braintree,6
2018-10-12,FAILED,US & Canada,personal_transport,Not_Avlbl,braintree,176
2018-10-13,UNAPPLIED,US & Canada,personal_transport,U4B-Managed-Decentralized,paypal,106
2018-07-02,UNAPPLIED,LatAm,personal_transport,U4B-Managed-Decentralized,other,1
2018-07-02,VOIDED,EMEA,personal_transport,U4B-Managed-Centralized,paypal,3
2018-07-03,PENDING,US & Canada,personal_transport,U4F,paypal,10
2018-07-04,APPLIED,LatAm,personal_transport,U4B-Managed-Decentralized,paypal,2
2018-07-05,DROPPED,LatAm,agora,Not_Avlbl,braintree,59
2018-07-05,VOIDED,LatAm,personal_transport,U4B-Managed-Decentralized,paypal,2
2018-07-08,PENDING,India SA,personal_transport,U4B-Unmanaged,paytm,8988
2018-07-10,PENDING,EMEA,personal_transport,U4B-Managed-Centralized-Missing,braintree,634
2018-07-10,UNAPPLIED,EMEA,personal_transport,U4B-Unmanaged,paypal,1823
2018-07-15,APPLIED,APACX,agora,U4B-Unmanaged,braintree,450
2018-07-15,FAILED,APACX,agora,Not_Avlbl,braintree,27
2018-07-16,PENDING,EMEA,personal_transport,U4B-Unmanaged,other,56
2018-07-16,VOIDED,APACX,agora,U4B-Unmanaged,braintree,2
2018-07-17,DROPPED,US & Canada,personal_transport,Not_Avlbl,paypal,89
2018-07-20,DROPPED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paytm,2149
2018-07-24,FAILED,US & Canada,personal_transport,U4F,paypal,2
2018-07-29,FAILED,EMEA,agora,Not_Avlbl,braintree,24
2018-08-07,DROPPED,US & Canada,personal_transport,Not_Avlbl,other,93
2018-08-08,UNAPPLIED,APACX,agora,U4B-Unmanaged,braintree,529
2018-08-11,DROPPED,India SA,agora,Not_Avlbl,paytm,149
2018-08-11,FAILED,EMEA,personal_transport,Not_Avlbl,paypal,76
2018-08-20,DROPPED,US & Canada,agora,U4B-Unmanaged,braintree,1
2018-09-01,APPLIED,EMEA,personal_transport,U4B-Unmanaged,other,73
2018-09-01,FAILED,EMEA,personal_transport,Not_Avlbl,other,1
2018-09-02,FAILED,US & Canada,personal_transport,U4B-Unmanaged,braintree,2
2018-09-02,VOIDED,EMEA,personal_transport,U4B-Unmanaged,other,5
2018-09-04,UNAPPLIED,EMEA,personal_transport,U4B-Unmanaged,paypal,1887
2018-09-05,DROPPED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paytm,965
2018-09-09,FAILED,US & Canada,personal_transport,U4F,paypal,1
2018-09-13,PENDING,EMEA,personal_transport,U4F,braintree,7206
2018-09-14,DROPPED,EMEA,agora,Not_Avlbl,paypal,12
2018-09-23,DROPPED,India SA,personal_transport,Not_Avlbl,braintree,11
2018-09-24,PENDING,LatAm,personal_transport,Not_Avlbl,other,1208
2018-09-27,DROPPED,EMEA,personal_transport,Not_Avlbl,braintree,959
2018-10-02,PENDING,US & Canada,personal_transport,U4B-Managed-Centralized,paypal,22
2018-10-04,UNAPPLIED,US & Canada,agora,U4B-Managed-Centralized,braintree,5
2018-10-08,APPLIED,US & Canada,personal_transport,Not_Avlbl,other,99314
2018-10-09,APPLIED,LatAm,personal_transport,U4B-Unmanaged,paypal,1913
2018-10-09,VOIDED,US & Canada,personal_transport,Not_Avlbl,other,12238
2018-10-10,UNAPPLIED,LatAm,personal_transport,U4B-Managed-Centralized-Missing,braintree,1020
2018-10-11,APPLIED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paypal,362
2018-10-12,APPLIED,India SA,agora,Not_Avlbl,paytm,48778
2018-10-12,VOIDED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paypal,54215
2018-10-14,UNAPPLIED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paytm,414485
2018-07-04,UNAPPLIED,LatAm,agora,U4B-Unmanaged,braintree,672
2018-07-05,APPLIED,US & Canada,agora,Not_Avlbl,braintree,313742
2018-07-05,UNAPPLIED,US & Canada,personal_transport,U4B-Managed-Centralized,other,2
2018-07-06,VOIDED,US & Canada,agora,Not_Avlbl,braintree,415
2018-07-13,APPLIED,US & Canada,personal_transport,U4B-Unmanaged,other,2373
2018-07-13,FAILED,US & Canada,personal_transport,Not_Avlbl,other,13
2018-07-14,VOIDED,US & Canada,personal_transport,U4B-Unmanaged,other,590
2018-07-16,UNAPPLIED,US & Canada,personal_transport,U4B-Unmanaged,paypal,3984
2018-07-17,PENDING,India SA,agora,U4B-Unmanaged,paytm,345
2018-07-18,PENDING,APACX,personal_transport,U4B-Managed-Centralized,braintree,62
2018-07-19,PENDING,India SA,personal_transport,U4B-Managed-Centralized,braintree,217
2018-07-20,VOIDED,India SA,personal_transport,U4B-Managed-Centralized,braintree,57
2018-07-23,FAILED,LatAm,personal_transport,U4B-Unmanaged,paypal,6
2018-07-26,APPLIED,LatAm,personal_transport,U4B-Managed-Decentralized,braintree,701
2018-07-26,DROPPED,US & Canada,agora,Not_Avlbl,paypal,3
2018-07-27,VOIDED,LatAm,personal_transport,U4B-Managed-Decentralized,braintree,146
2018-08-06,UNAPPLIED,US & Canada,personal_transport,U4B-Unmanaged,other,2293
2018-08-08,APPLIED,US & Canada,personal_transport,U4B-Unmanaged,paypal,3747
2018-08-08,FAILED,US & Canada,personal_transport,Not_Avlbl,paypal,86
2018-08-09,VOIDED,US & Canada,personal_transport,U4B-Unmanaged,paypal,408
2018-08-10,UNAPPLIED,India SA,agora,U4B-Unmanaged,paytm,386
2018-08-11,FAILED,Not_Avlbl,Not_Avlbl,Not_Avlbl,paytm,200166
2018-08-11,UNAPPLIED,APACX,personal_transport,U4B-Managed-Centralized,braintree,18
2018-08-12,PENDING,EMEA,personal_transport,Not_Avlbl,braintree,286779
2018-08-12,UNAPPLIED,India SA,personal_transport,U4B-Managed-Centralized,braintree,84
2018-08-15,PENDING,APACX,agora,U4B-Unmanaged,paypal,47
